Gender,Driver_licence,Truck_licence,Motor_licence,Car_access,Bike_access,Skate_access,Motor_access,Hsize,Vehicles,Mode,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Geodesic_distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και άνω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_other
0,1,0,0,1,0,0,0,3,2,0,45,1,5,5,5,5,5,5,38.1,25.56504627985433,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,2,1,0,22,3,3,2,1,3,3,1,7.0,6.047848142512758,0,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,0,0,1,2,1,0,17,3,2,3,3,2,3,5,10.2,4.740111512925962,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,5,1,2,28,2,1,3,2,5,4,1,2.1,1.7173467276086436,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,5,3,0,10,5,5,5,2,3,4,4,7.5,5.602064719818179,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0,3,2,0,16,5,3,5,4,3,5,5,5.8,4.5978866510638685,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,3,2,0,5,5,5,5,3,3,5,3,7.2,7.2,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,0,0,0,2,2,0,19,3,1,4,3,1,3,5,20.6,20.6,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,3,2,0,26,5,3,4,3,1,5,5,7.9,6.80392993018652,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,2,1,0,25,5,5,5,2,1,5,5,7.5,6.758864199785418,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,4,1,1,21,4,4,4,2,2,3,2,4.3,4.018718029824229,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,2,2,0,12,5,4,5,1,1,5,5,6.4,3.774361065095608,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,0,0,0,3,2,0,22,4,3,3,2,3,3,4,15.7,11.266392850617718,0,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,6,1,1,28,5,5,5,3,3,5,3,2.2,2.2,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,0,1,1,0,0,1,2,3,0,34,4,5,5,4,1,4,4,18.4,18.4,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0,8,3,0,26,3,5,5,5,5,5,5,8.7,6.808129513827671,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0,4,4,0,22,4,4,4,4,4,4,4,15.4,15.4,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,1,0,0,0,4,2,0,25,2,3,2,3,3,3,2,15.9,15.9,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,2,1,1,50,3,3,3,3,3,3,3,7.0,7.0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,0,1,4,2,0,20,3,3,3,4,4,3,2,18.0,18.0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,2,2,0,20,5,4,4,2,1,2,5,15.2,15.2,0,0,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,2,2,0,27,4,2,4,2,2,2,3,7.6,7.6,0,0,0,1,0,0,0,0,1,0,1,0,0
0,1,0,1,0,0,0,0,2,2,0,5,3,3,4,2,2,4,4,1.9,0.39628121424344537,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,4,2,1,12,4,2,4,5,5,4,4,1.6,0.901343091626738,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,0,0,4,2,0,33,4,3,3,3,2,3,2,21.5,21.5,0,1,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,3,2,0,22,5,4,5,2,2,5,5,16.3,11.761735452401377,0,1,0,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,2,0,25,1,5,1,1,1,1,1,14.0,11.695473448159866,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,5,2,0,30,5,5,5,3,4,5,5,25.2,25.2,0,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,3,3,0,18,1,5,2,2,3,1,1,15.2,15.2,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,2,3,0,10,5,2,5,2,1,4,2,2.8,2.8,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,1,1,0,0,4,5,0,11,3,3,3,4,4,5,3,7.4,7.4,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,1,1,0,0,0,4,2,0,13,5,1,5,5,3,5,5,4.0,3.0646608654915903,0,0,0,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,1,0,1,5,3,2,22,3,2,5,2,1,4,5,1.6,8.339450733117879,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,1,3,3,0,5,5,5,3,5,1,1,5,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,4,1,0,9,3,3,3,3,3,3,1,1.7,1.7,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,1,1,0,0,1,4,4,0,27,4,5,3,1,1,5,3,23.4,23.4,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,1,0,0,1,2,3,0,20,2,2,2,1,3,4,5,15.5,15.5,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,0,0,4,3,0,20,5,2,4,1,3,5,2,5.0,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,1,0,0,0,3,2,0,26,5,4,4,3,3,5,4,17.5,17.43211154389426,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,2,2,0,8,5,4,5,3,2,5,5,3.4,1.996302090287227,0,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,5,4,0,3,4,4,3,2,3,4,5,1.0,0.4584913087501023,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,3,1,1,17,1,1,4,3,5,4,5,3.2,2.2765769556443995,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0,4,1,1,22,3,5,4,4,3,4,5,3.8,5.30434003977699,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,2,17,4,5,4,3,4,5,3,1.3,0.961240017709099,0,1,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,8,4,5,5,5,4,5,5,2.9,2.352753301598148,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,3,2,1,21,3,1,2,3,1,3,1,2.3,2.3,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,4,1,1,38,3,4,3,2,2,3,3,6.1,4.808650327854548,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,4,1,1,13,3,4,4,3,3,2,3,2.8,2.8,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,4,3,1,33,5,4,5,5,5,2,1,5.0,3.9761555012816263,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,3,3,0,15,3,5,3,3,2,4,3,8.1,8.1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,4,1,2,19,3,4,3,2,4,5,1,1.4,1.4,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,1,1,0,1,4,3,0,20,3,2,2,4,1,1,5,6.1,5.2590812535453715,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,1,1,37,4,1,1,1,2,3,3,6.7,5.230104213602552,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,2,1,1,51,4,4,4,4,3,3,4,7.1,7.1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,0,3,1,1,32,3,4,4,4,4,4,2,6.7,4.863510047512133,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,1,0,0,1,5,5,0,26,4,3,4,4,4,3,5,21.8,21.8,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,4,1,2,15,4,5,3,2,3,2,3,1.1,1.1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,5,2,0,23,4,3,4,2,3,3,4,11.3,16.103053390089304,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,5,1,1,60,4,3,5,5,4,4,5,9.2,5.590464796951571,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,0,1,1,0,26,3,4,2,3,5,3,4,22.5,22.5,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,6,2,1,60,3,5,4,3,4,5,4,15.8,8.511006214503855,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,5,2,2,35,4,1,4,3,5,4,5,2.5,6.292682291099324,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,4,2,0,8,5,4,5,4,4,4,4,2.3,5.672800054295552,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,2,0,10,5,4,5,4,4,4,4,2.5,5.672800054295552,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,3,1,1,60,2,2,4,4,4,4,5,10.2,8.928207376868052,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,3,1,2,12,4,3,3,2,5,4,1,0.95,0.95,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,2,1,1,14,2,5,3,1,2,2,4,2.0,0.9340620692382584,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,4,2,2,9,4,4,3,2,4,4,4,0.8,0.8,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,2,0,1,16,4,4,3,2,2,3,2,2.8,2.8,1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,3,2,0,23,5,3,5,3,5,3,5,11.9,10.016978483241086,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,0,4,2,0,30,5,2,4,2,2,3,5,8.7,6.528938289031626,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,1,4,2,1,32,2,5,2,2,2,2,5,6.8,6.8,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,1,0,23,5,3,5,3,3,5,5,8.8,6.485612062081486,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,3,1,1,20,3,5,3,3,3,3,5,3.4,2.615721655550872,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,1,0,2,6,5,5,3,5,5,3,5,0.7,0.62685831000514,0,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,6,2,1,20,2,4,3,1,4,3,1,3.0,2.1525701769749483,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,0,0,5,1,0,20,3,4,4,5,4,5,5,5.4,10.469525041059562,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,5,1,2,18,3,5,4,5,5,3,1,1.4,1.0101802965227336,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,5,1,1,54,2,4,3,3,2,4,1,13.6,10.261465911460917,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,8,2,1,60,1,3,2,2,5,3,1,15.9,7.5991636218271585,1,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,2,2,0,26,3,3,3,3,3,3,3,21.2,21.2,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,4,1,1,37,2,5,3,3,3,3,1,7.9,7.9,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,1,4,2,0,26,5,2,3,2,1,4,5,24.4,24.4,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,0,0,4,2,0,19,4,4,4,4,4,4,4,12.1,5.352456209138599,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,1,0,23,3,5,4,2,4,4,5,16.6,16.6,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,4,1,1,40,1,5,5,4,3,4,1,6.8,5.74296888656566,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,4,2,0,18,2,2,2,4,5,2,2,15.9,15.9,0,0,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,3,1,2,4,5,5,3,3,4,5,5,0.7,0.37165067114327244,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,2,2,13,5,5,4,4,4,5,5,1.0,0.8199191316708732,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,1,1,0,0,1,3,2,0,20,5,5,4,4,4,3,5,14.4,14.4,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,0,0,2,1,2,8,5,4,2,2,4,4,2,0.8,0.35680724752230886,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,5,2,1,27,1,3,1,2,1,3,1,5.5,4.678323010974615,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,1,1,0,0,0,3,1,0,21,5,5,5,5,5,5,5,5.2,19.669144335347696,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,0,0,5,2,2,5,5,5,5,3,3,5,3,0.7,0.6209829926435783,1,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,1,1,0,0,0,5,2,0,3,4,3,4,3,4,4,3,1.1,1.1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,0,0,1,0,0,0,7,3,2,8,4,5,5,5,4,4,5,0.85,0.85,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,5,2,1,32,1,5,3,1,4,3,2,4.5,3.6329642730716394,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,1,0,0,4,2,1,46,4,4,4,4,5,5,4,8.7,6.970716243778073,0,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,4,1,1,60,2,3,3,3,2,3,4,21.2,21.2,1,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,1,1,0,0,6,1,2,7,3,3,3,5,5,3,3,0.75,0.75,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,1,5,2,0,21,5,1,3,3,1,5,1,10.5,5.254562648975884,0,0,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,4,2,0,28,5,5,5,3,3,4,5,12.3,12.3,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,5,1,2,7,4,5,4,4,5,5,5,0.7,0.7,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,1,1,1,0,0,4,2,0,22,2,1,2,2,2,1,1,5.5,19.366749673909563,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,5,2,0,19,4,2,2,2,2,5,5,13.6,13.6,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,1,1,0,1,4,4,0,14,5,5,3,4,1,1,5,4.3,3.9277312885165183,0,0,0,0,1,0,1,0,0,0,1,0,0
0,1,0,0,1,1,0,0,4,2,0,23,5,5,5,2,3,5,5,22.3,12.084245900952395,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,0,4,2,0,22,5,3,5,1,1,5,5,8.9,9.081468600841301,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,1,0,14,4,4,4,5,3,3,4,8.3,4.8142465215877905,0,0,0,0,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,5,2,2,17,2,2,3,3,4,4,3,1.3,24.267711772753366,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,4,2,1,17,4,4,4,4,4,5,2,4.1,3.250824506430651,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,5,4,1,23,5,4,4,3,3,4,3,4.3,5.80189119496575,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,1,1,0,1,4,3,0,6,1,5,3,1,1,5,5,1.1,0.15907675423169193,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,1,0,0,3,1,2,14,4,4,3,2,4,5,3,1.1,0.9138298662415749,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,1,0,0,4,1,1,27,4,2,2,3,2,3,3,3.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,0,0,4,3,2,45,3,4,4,4,4,4,4,3.2,2.8021374579502853,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,2,1,1,16,4,4,3,2,2,4,3,2.6,1.515450517372273,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,0,1,46,3,5,3,3,2,4,2,6.6,1.170550880713292,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,5,2,2,22,3,5,3,4,4,4,2,1.6,1.5501737863517397,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,2,1,1,27,2,1,2,4,2,2,2,3.3,3.3,1,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,1,1,0,0,4,1,1,28,4,4,4,4,4,4,1,4.6,3.697123699973252,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,1,0,0,0,6,1,0,8,4,4,4,4,4,4,5,2.1,1.1835663741333402,0,0,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0,4,2,0,30,4,4,4,4,4,4,4,28.5,28.5,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,3,1,0,28,5,5,4,2,3,3,3,20.1,14.743829560356758,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,3,1,1,25,3,5,4,2,2,2,2,2.7,2.5065031369214217,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,5,2,1,20,4,4,3,1,2,3,3,2.8,2.8,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,4,2,2,19,3,4,3,2,4,4,4,1.3,1.0882960954091059,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,4,1,2,23,4,4,3,2,3,4,2,1.6,1.3341421738544754,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,3,2,1,36,4,4,3,3,3,3,4,6.8,6.8,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,1,2,1,2,23,4,4,4,2,4,4,3,1.6,1.1314476341106972,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,4,1,1,43,2,3,4,3,2,3,4,9.3,5.836490265683568,0,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,1,4,1,0,15,4,5,3,3,2,4,4,11.4,7.7845393724144625,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,4,2,1,38,4,5,4,2,2,2,2,6.3,6.3,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,5,2,2,26,3,3,3,2,4,4,2,1.8,1.8,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,3,1,1,24,4,4,2,2,2,2,2,4.3,4.3,0,1,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,0,4,1,1,30,4,4,3,3,2,4,4,4.0,3.083720111946595,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,0,3,1,2,19,4,3,3,3,3,4,3,1.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,5,2,0,23,5,3,2,2,2,1,2,6.3,6.3,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,4,2,2,23,4,3,4,2,4,4,3,1.6,1.6,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,4,1,1,22,2,4,3,2,2,2,4,3.5,2.572106554897473,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,3,1,1,27,2,3,3,3,2,3,4,5.1,3.879182414264897,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,9,3,0,37,2,2,3,2,4,1,1,20.6,14.335054872040782,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,1,1,1,0,0,0,4,2,2,30,2,5,5,5,3,5,5,1.9,1.9,0,0,0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,3,0,1,16,1,1,1,1,3,3,1,3.0,2.1052840234356207,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,4,2,1,17,2,4,2,4,5,2,1,1.7,1.7,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,3,1,1,39,2,3,4,1,4,2,3,7.6,7.6,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,1,6,3,1,60,2,4,2,2,1,4,5,33.8,18.003982481001245,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,2,0,2,11,5,1,5,1,5,5,1,0.8,0.8,0,0,0,0,1,0,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,4,2,0,20,4,4,4,3,3,5,4,6.9,5.608494938993725,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,4,1,2,10,2,3,2,2,2,3,4,0.7,0.32014554225453373,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,1,1,1,1,0,1,3,2,0,29,4,5,5,4,5,4,5,7.6,7.6,0,0,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0,4,1,1,47,3,3,3,5,3,3,3,8.3,6.469052399950164,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,5,2,0,17,4,4,4,4,4,4,5,5.0,3.3067941272999275,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,4,4,0,27,3,3,4,4,4,4,3,11.9,9.082905695447563,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,1,1,0,1,4,3,0,10,4,5,2,4,3,1,5,3.5,2.9889324466432834,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,0,4,2,0,28,5,4,3,2,2,2,4,22.8,22.8,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,0,5,3,1,36,3,4,4,3,3,5,5,7.5,5.447427718047305,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,0,1,1,0,27,1,1,3,3,4,3,3,19.2,16.87203081761888,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,0,4,2,0,15,5,4,5,4,3,5,5,7.5,5.447427718047305,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,3,2,0,12,1,1,1,1,1,2,1,2.7,8.348947376214198,0,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,3,1,2,33,3,4,3,2,4,4,3,2.2,1.8929676230440433,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,2,1,1,21,4,3,4,2,2,2,2,2.6,2.1005069784249177,0,1,0,0,0,0,1,0,0,0,1,0,0
