Gender,Age,Driver_Licence,H_size,Veh_count,Income,Mode,Minutes,Go_time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Car_freq,Pt_freq,Walk_freq,Distance
Γυναίκα,21 - 30,Yes,6,1,1000 - 1500,Λεωφορείο,28,15.00 - 18.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,2.2
Άνδρας,41 - 50,Yes,2,3,1000 - 1500,Αμάξι,25,06.00 - 09.00,Agree,Totally agree,Totally agree,Agree,Totally disagree,Agree,Agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Καθημερινά,21.5
Γυναίκα,21 - 30,Yes,8,3,1000 - 1500,Αμάξι,24,06.00 - 09.00,Neutral,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,10
Γυναίκα,21 - 30,Yes,4,4,1000 - 1500,Αμάξι,30,09.00 - 12.00,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),13.9
Γυναίκα,51 - 60,Yes,4,2,1000 - 1500,Αμάξι,30,09.00 - 12.00,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Καθημερινά,Καθόλου,Καθημερινά,16.5
Γυναίκα,21 - 30,No,2,1,500 - 1000,Λεωφορείο,60,09.00 - 12.00,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),6.5
Άνδρας,31 -40,Yes,2,2,1500 - 2000,Αμάξι,20,06.00 - 09.00,Totally agree,Agree,Agree,Disagree,Totally disagree,Disagree,Totally agree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),18.1
Γυναίκα,41 - 50,Yes,2,2,500 - 1000,Αμάξι,22,09.00 - 12.00,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),8.1
Γυναίκα,20 και κάτω,No,4,2,1000 - 1500,Λεωφορείο,10,15.00 - 18.00,Agree,Disagree,Agree,Totally agree,Totally agree,Agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,1.7
Γυναίκα,21 - 30,Yes,4,2,2000 και άνω,Αμάξι,28,18.00 - 21.00,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,20.8
Άνδρας,21 - 30,Yes,3,2,1000 - 1500,Αμάξι,25,06.00 - 09.00,Totally agree,Agree,Totally agree,Disagree,Disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),18.4
Άνδρας,41 - 50,Yes,5,2,1000 - 1500,Αμάξι,30,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),21.9
Γυναίκα,41 - 50,Yes,4,2,0 - 500,Αμάξι,30,09.00 - 12.00,Totally disagree,Totally agree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Καθημερινά,Καθόλου,Καθημερινά,15
Γυναίκα,31 -40,Yes,5,2,500 - 1000,Αμάξι,35,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Neutral,Agree,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),24
Γυναίκα,31 -40,Yes,3,3,500 - 1000,Αμάξι,20,09.00 - 12.00,Totally disagree,Totally agree,Disagree,Disagree,Neutral,Totally disagree,Totally disagree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),15
Γυναίκα,21 - 30,Yes,2,3,1000 - 1500,Αμάξι,10,06.00 - 09.00,Totally agree,Disagree,Totally agree,Disagree,Totally disagree,Agree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.8
Άνδρας,21 - 30,Yes,4,5,1000 - 1500,Αμάξι,17,09.00 - 12.00,Neutral,Neutral,Neutral,Agree,Agree,Totally agree,Neutral,Καθημερινά,Καθόλου,Καθημερινά,10.4
Άνδρας,41 - 50,Yes,4,2,2000 και άνω,Αμάξι,5,06.00 - 09.00,Totally agree,Totally disagree,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,1.8
Άνδρας,51 - 60,Yes,5,3,2000 και άνω,Πόδια,20,06.00 - 09.00,Neutral,Disagree,Totally agree,Disagree,Totally disagree,Agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,2.5
Άνδρας,31 -40,Yes,4,1,1000 - 1500,Αμάξι,10,09.00 - 12.00,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Totally disagree,Καθημερινά,Καθόλου,Καθημερινά,1.9
Άνδρας,21 - 30,Yes,2,3,500 - 1000,Αμάξι,30,09.00 - 12.00,Disagree,Disagree,Disagree,Totally disagree,Neutral,Agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),16
Γυναίκα,41 - 50,Yes,5,2,500 - 1000,Αμάξι,5,06.00 - 09.00,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),2
Άνδρας,21 - 30,Yes,4,3,1500 - 2000,Αμάξι,25,09.00 - 12.00,Totally agree,Disagree,Agree,Totally disagree,Neutral,Totally agree,Disagree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),13.4
Γυναίκα,31 -40,Yes,3,2,1000 - 1500,Αμάξι,26,06.00 - 09.00,Totally agree,Agree,Agree,Neutral,Neutral,Totally agree,Agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),20.4
Γυναίκα,31 -40,Yes,2,2,500 - 1000,Αμάξι,20,06.00 - 09.00,Totally agree,Agree,Totally agree,Neutral,Disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθόλου,13.6
Γυναίκα,21 - 30,Yes,5,4,500 - 1000,Αμάξι,3,06.00 - 09.00,Agree,Agree,Neutral,Disagree,Neutral,Agree,Totally agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),1
Άνδρας,21 - 30,Yes,3,1,1000 - 1500,Λεωφορείο,20,12.00 - 15.00,Totally disagree,Totally disagree,Agree,Neutral,Totally agree,Agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,3
Γυναίκα,20 και κάτω,No,4,1,0 - 500,Λεωφορείο,20,09.00 - 12.00,Neutral,Totally agree,Agree,Agree,Neutral,Agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),4.1
Γυναίκα,21 - 30,No,1,0,500 - 1000,Πόδια,17,12.00 - 15.00,Agree,Totally agree,Agree,Neutral,Agree,Totally agree,Neutral,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,2
Άνδρας,51 - 60,Yes,1,1,1000 - 1500,Αμάξι,7,09.00 - 12.00,Agree,Totally agree,Totally agree,Totally agree,Agree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,2.7
Γυναίκα,21 - 30,No,3,2,500 - 1000,Λεωφορείο,20,15.00 - 18.00,Neutral,Totally disagree,Disagree,Neutral,Totally disagree,Neutral,Totally disagree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,2.1
Γυναίκα,21 - 30,Yes,4,1,0 - 500,Λεωφορείο,32,12.00 - 15.00,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),6
Γυναίκα,21 - 30,No,4,1,500 - 1000,Λεωφορείο,15,12.00 - 15.00,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),3.1
Γυναίκα,21 - 30,No,4,3,0 - 500,Λεωφορείο,30,09.00 - 12.00,Totally agree,Agree,Totally agree,Totally agree,Totally agree,Disagree,Totally disagree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,4.7
Άνδρας,21 - 30,Yes,3,3,500 - 1000,Αμάξι,15,09.00 - 12.00,Neutral,Totally agree,Neutral,Neutral,Disagree,Agree,Neutral,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),7.6
Γυναίκα,21 - 30,Yes,4,1,0 - 500,Πόδια,15,12.00 - 15.00,Neutral,Agree,Neutral,Disagree,Agree,Totally agree,Totally disagree,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,2.9
Άνδρας,20 και κάτω,No,4,1,0 - 500,Λεωφορείο,30,09.00 - 12.00,Agree,Totally disagree,Totally disagree,Totally disagree,Disagree,Neutral,Neutral,Καθόλου,Καθημερινά,Καθημερινά,6.2
Γυναίκα,41 - 50,No,2,1,500 - 1000,Λεωφορείο,40,06.00 - 09.00,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,7.3
Άνδρας,21 - 30,Yes,3,1,500 - 1000,Λεωφορείο,40,09.00 - 12.00,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,6.7
Άνδρας,21 - 30,Yes,4,1,0 - 500,Πόδια,15,12.00 - 15.00,Agree,Totally agree,Neutral,Disagree,Neutral,Disagree,Neutral,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1.4
Γυναίκα,41 - 50,Yes,5,2,2000 και άνω,Αμάξι,25,06.00 - 09.00,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),13.6
Γυναίκα,41 - 50,Yes,5,1,500 - 1000,Λεωφορείο,60,06.00 - 09.00,Agree,Neutral,Totally agree,Totally agree,Agree,Agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),8.6
Άνδρας,21 - 30,Yes,1,1,500 - 1000,Αμάξι,25,06.00 - 09.00,Neutral,Agree,Disagree,Neutral,Totally agree,Neutral,Agree,Καθημερινά,Καθόλου,Καθημερινά,22.5
Άνδρας,21 - 30,No,6,2,0 - 500,Λεωφορείο,56,09.00 - 12.00,Neutral,Totally agree,Agree,Neutral,Agree,Totally agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,16.5
Άνδρας,21 - 30,No,5,2,0 - 500,Πόδια,30,09.00 - 12.00,Agree,Totally disagree,Agree,Neutral,Totally agree,Agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,2.1
Άνδρας,51 - 60,Yes,4,2,1000 - 1500,Αμάξι,10,06.00 - 09.00,Totally agree,Agree,Totally agree,Agree,Agree,Agree,Agree,Καθημερινά,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),2.6
Γυναίκα,41 - 50,Yes,4,2,500 - 1000,Αμάξι,8,06.00 - 09.00,Totally agree,Agree,Totally agree,Agree,Agree,Agree,Agree,Καθημερινά,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),2.5
Άνδρας,21 - 30,Yes,4,1,500 - 1000,Αμάξι,9,06.00 - 09.00,Agree,Agree,Totally agree,Agree,Agree,Neutral,Totally agree,Καθημερινά,Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),2.9
Άνδρας,21 - 30,Yes,3,2,500 - 1000,Αμάξι,60,06.00 - 09.00,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,89
Γυναίκα,51 - 60,No,3,1,1500 - 2000,Λεωφορείο,55,06.00 - 09.00,Disagree,Disagree,Agree,Agree,Agree,Agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,10.2
Γυναίκα,21 - 30,No,3,1,500 - 1000,Πόδια,11,15.00 - 18.00,Agree,Neutral,Neutral,Disagree,Totally agree,Agree,Totally disagree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.4
Άνδρας,31 -40,Yes,2,1,500 - 1000,Λεωφορείο,14,09.00 - 12.00,Disagree,Totally agree,Neutral,Totally disagree,Disagree,Disagree,Agree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.8
Γυναίκα,21 - 30,Yes,4,2,500 - 1000,Πόδια,9,15.00 - 18.00,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),0.8
Γυναίκα,20 και κάτω,No,2,0,0 - 500,Λεωφορείο,20,09.00 - 12.00,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),2.6
Γυναίκα,21 - 30,Yes,3,2,500 - 1000,Αμάξι,23,12.00 - 15.00,Totally agree,Neutral,Totally agree,Neutral,Totally agree,Neutral,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),15.4
Γυναίκα,31 -40,No,4,2,1500 - 2000,Αμάξι,25,06.00 - 09.00,Totally agree,Disagree,Agree,Disagree,Disagree,Neutral,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),9.3
Άνδρας,31 -40,Yes,4,2,1000 - 1500,Λεωφορείο,36,06.00 - 09.00,Disagree,Totally agree,Disagree,Disagree,Disagree,Disagree,Totally agree,Καθημερινά,Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),8.9
Γυναίκα,31 -40,Yes,4,1,1000 - 1500,Αμάξι,31,06.00 - 09.00,Totally agree,Neutral,Totally agree,Neutral,Neutral,Totally agree,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,13.3
Άνδρας,41 - 50,Yes,3,1,500 - 1000,Λεωφορείο,19,09.00 - 12.00,Neutral,Totally agree,Neutral,Neutral,Neutral,Neutral,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,4.3
Γυναίκα,31 -40,No,1,0,500 - 1000,Πόδια,6,09.00 - 12.00,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Neutral,Totally agree,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1
Γυναίκα,21 - 30,No,6,2,1500 - 2000,Λεωφορείο,16,09.00 - 12.00,Disagree,Agree,Neutral,Totally disagree,Agree,Neutral,Totally disagree,Καθόλου,Καθημερινά,Καθημερινά,2.5
Άνδρας,41 - 50,Yes,5,1,1000 - 1500,Αμάξι,20,06.00 - 09.00,Neutral,Agree,Agree,Totally agree,Agree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),5.5
Γυναίκα,41 - 50,Yes,5,1,1000 - 1500,Πόδια,11,09.00 - 12.00,Neutral,Totally agree,Agree,Totally agree,Totally agree,Neutral,Totally disagree,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,0.85
Άνδρας,20 και κάτω,Yes,5,1,0 - 500,Λεωφορείο,46,09.00 - 12.00,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Totally disagree,Καθημερινά,Καθημερινά,Καθημερινά,13.2
Άνδρας,20 και κάτω,No,8,2,0 - 500,Λεωφορείο,60,03.00 - 06.00,Totally disagree,Neutral,Disagree,Disagree,Totally agree,Neutral,Totally disagree,Καθόλου,Καθημερινά,Καθημερινά,20.2
Άνδρας,31 -40,Yes,2,2,1000 - 1500,Αμάξι,30,06.00 - 09.00,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),17.6
Άνδρας,21 - 30,Yes,2,2,500 - 1000,Αμάξι,10,06.00 - 09.00,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),5.1
Άνδρας,20 και κάτω,No,4,1,1500 - 2000,Λεωφορείο,39,06.00 - 09.00,Disagree,Totally agree,Neutral,Neutral,Neutral,Neutral,Totally disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),8.2
Άνδρας,41 - 50,Yes,4,2,1000 - 1500,Αμάξι,30,06.00 - 09.00,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,23
Άνδρας,21 - 30,Yes,1,1,500 - 1000,Αμάξι,22,03.00 - 06.00,Neutral,Totally agree,Agree,Disagree,Agree,Agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),18.1
Άνδρας,21 - 30,No,4,1,0 - 500,Λεωφορείο,36,09.00 - 12.00,Totally disagree,Totally agree,Totally agree,Agree,Neutral,Agree,Totally disagree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),6.7
Άνδρας,41 - 50,Yes,4,2,2000 και άνω,Αμάξι,15,06.00 - 09.00,Disagree,Disagree,Disagree,Agree,Totally agree,Disagree,Disagree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),14.5
Γυναίκα,41 - 50,Yes,4,2,1000 - 1500,Πόδια,14,09.00 - 12.00,Totally agree,Totally agree,Agree,Agree,Agree,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1
Γυναίκα,21 - 30,Yes,2,1,500 - 1000,Πόδια,8,15.00 - 18.00,Totally agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1
